Afghanistan,im Jahr 2015,31146, img/hot.jpg
Ägypten,im Jahr 2015,322743, img/hot.jpg
Albanien,im Jahr 2015,8868, img/hot.jpg
Algerien,im Jahr 2015,239422, img/hot.jpg
Angola,im Jahr 2015,81033, img/hot.jpg
Antigua und Barbuda,im Jahr 2015,739, img/hot.jpg
Äquatorialguinea,im Jahr 2015,7483, img/hot.jpg
Argentinien,im Jahr 2015,385223, img/hot.jpg
Armenien,im Jahr 2015,8565, img/hot.jpg
Aserbaidschan,im Jahr 2015,54178, img/hot.jpg
Äthiopien,im Jahr 2015,150843, img/hot.jpg
Australien,im Jahr 2015,658586, img/hot.jpg
Bahamas,im Jahr 2015,3219, img/hot.jpg
Bahrain,im Jahr 2015,39947, img/hot.jpg
Bangladesch,im Jahr 2015,221476, img/hot.jpg
Barbados,im Jahr 2015,3347, img/hot.jpg
Belgien,im Jahr 2015,133450, img/hot.jpg
Belize,im Jahr 2015,887, img/hot.jpg
Benin,im Jahr 2015,13885, img/hot.jpg
Bhutan,im Jahr 2015,2407, img/hot.jpg
Bolivien,im Jahr 2015,51828, img/hot.jpg
Bosnien und Herzegowina,im Jahr 2015,30824, img/hot.jpg
Botswana,im Jahr 2015,89280, img/hot.jpg
Brasilien,im Jahr 2015,1229246, img/hot.jpg
Brunei,im Jahr 2015,12039, img/hot.jpg
Bulgarien,im Jahr 2015,61475, img/hot.jpg
Burkina Faso,im Jahr 2015,26289, img/hot.jpg
Burundi,im Jahr 2015,4648, img/hot.jpg
Chile,im Jahr 2015,117188, img/hot.jpg
China (Taiwan),im Jahr 2015,304488, img/hot.jpg
China (Volksrepublik),im Jahr 2015,13067691, img/hot.jpg
Costa Rica,im Jahr 2015,12758, img/hot.jpg
Dänemark,im Jahr 2015,50531, img/hot.jpg
Deutschland,im Jahr 2015,928691, img/hot.jpg
Dominica,im Jahr 2015,194, img/hot.jpg
Dominikanische Republik,im Jahr 2015,34968, img/hot.jpg
Dschibuti,im Jahr 2015,1993, img/hot.jpg
Ecuador,im Jahr 2015,70623, img/hot.jpg
El Salvador,im Jahr 2015,11655, img/hot.jpg
Elfenbeinküste,im Jahr 2015,26327, img/hot.jpg
Eritrea,im Jahr 2015,6029, img/hot.jpg
Estland,im Jahr 2015,24393, img/hot.jpg
Fidschi,im Jahr 2015,2510, img/hot.jpg
Finnland,im Jahr 2015,76146, img/hot.jpg
Frankreich,im Jahr 2015,449738, img/hot.jpg
Monaco,im Jahr 2015, img/hot.jpg
Gabun,im Jahr 2015,15334, img/hot.jpg
Gambia,im Jahr 2015,2043, img/hot.jpg
Georgien,im Jahr 2015,15941, img/hot.jpg
Ghana,im Jahr 2015,35575, img/hot.jpg
Grenada,im Jahr 2015,329, img/hot.jpg
Griechenland,im Jahr 2015,88714, img/hot.jpg
Guatemala,im Jahr 2015,33154, img/hot.jpg
Guinea,im Jahr 2015,20121, img/hot.jpg
Guinea-Bissau,im Jahr 2015,2775, img/hot.jpg
Guyana,im Jahr 2015,4933, img/hot.jpg
Haiti,im Jahr 2015,13831, img/hot.jpg
Honduras,im Jahr 2015,19822, img/hot.jpg
Indien,im Jahr 2015,3346954, img/hot.jpg
Indonesien,im Jahr 2015,897159, img/hot.jpg
Iran,im Jahr 2015,815652, img/hot.jpg
Irak,im Jahr 2015,238146, img/hot.jpg
Irland,im Jahr 2015,65403, img/hot.jpg
Island,im Jahr 2015,4976, img/hot.jpg
Israel,im Jahr 2015,82243, img/hot.jpg
Italien,im Jahr 2015,427521, img/hot.jpg
San Marino,im Jahr 2015, img/hot.jpg
Vatikanstadt,im Jahr 2015, img/hot.jpg
Jamaika,im Jahr 2015,10343, img/hot.jpg
Japan,im Jahr 2015,1359553, img/hot.jpg
Jemen,im Jahr 2015,32392, img/hot.jpg
Jordanien,im Jahr 2015,33027, img/hot.jpg
Kambodscha,im Jahr 2015,35822, img/hot.jpg
Kamerun,im Jahr 2015,48440, img/hot.jpg
Kanada,im Jahr 2015,779870, img/hot.jpg
Kap Verde,im Jahr 2015,1199, img/hot.jpg
Kasachstan,im Jahr 2015,360129, img/hot.jpg
Katar,im Jahr 2015,164117, img/hot.jpg
Kenia,im Jahr 2015,85572, img/hot.jpg
Kirgisistan,im Jahr 2015,19658, img/hot.jpg
Kiribati,im Jahr 2015,72, img/hot.jpg
Kolumbien,im Jahr 2015,168374, img/hot.jpg
Komoren,im Jahr 2015,593, img/hot.jpg
Kongo (Demokratische Republik),im Jahr 2015,40483, img/hot.jpg
Kongo (Republik),im Jahr 2015,15534, img/hot.jpg
Korea (Nordkorea),im Jahr 2015,52864, img/hot.jpg
Korea (Südkorea),im Jahr 2015,704272, img/hot.jpg
Kroatien,im Jahr 2015,25831, img/hot.jpg
Kuba,im Jahr 2015,51534, img/hot.jpg
Kuwait,im Jahr 2015,129778, img/hot.jpg
Laos,im Jahr 2015,14931, img/hot.jpg
Lesotho,im Jahr 2015,2856, img/hot.jpg
Lettland,im Jahr 2015,13452, img/hot.jpg
Libanon,im Jahr 2015,29284, img/hot.jpg
Liberia,im Jahr 2015,3800, img/hot.jpg
Libyen,im Jahr 2015,68534, img/hot.jpg
